Customer Email,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Purchase_Year,Purchase_Month,Purchase_Day
1639,50,1,5,2021-12-09,3,6,5636,0,1067,0,3,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0,2021,12,9
2296,27,1,27,2021-04-09,3,7,1146,2,0,2,0,2023-06-01 20:50:24,2023-06-01 17:14:42,3.0,2021,4,9
3454,24,2,16,2020-10-13,1,12,7224,0,1875,1,0,2023-06-01 07:56:25,2023-06-01 00:14:25,1.0,2020,10,13
3944,65,0,9,2020-03-14,3,6,4312,2,0,3,1,2023-06-01 15:51:28,2023-06-01 17:14:42,3.0,2020,3,14
2092,39,0,2,2020-09-02,2,11,6837,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,9,2
7658,19,1,18,2021-09-10,4,0,1065,0,1529,0,2,2023-06-01 18:45:30,2023-05-31 21:53:30,3.0,2021,9,10
7035,33,2,1,2021-10-22,2,0,4291,2,0,3,3,2023-05-31 22:19:32,2023-06-01 17:14:42,3.0,2021,10,22
6772,19,0,33,2021-02-07,2,7,7155,2,0,2,2,2023-06-01 09:11:33,2023-06-01 17:14:42,3.0,2021,2,7
6780,35,1,10,2021-06-09,0,11,199,0,2266,0,0,2023-06-01 20:25:34,2023-06-01 14:43:34,3.0,2021,6,9
7993,22,1,35,2020-10-10,2,11,2933,2,0,3,2,2023-06-01 18:41:35,2023-06-01 17:14:42,3.0,2020,10,10
23,54,0,41,2020-01-16,4,6,5302,1,0,2,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,1,16
4337,34,2,19,2021-09-25,3,11,1689,0,1630,0,1,2023-06-01 05:58:39,2023-06-01 03:19:39,2.0,2021,9,25
1660,65,0,21,2021-02-01,2,2,5388,1,0,2,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,2,1
21,50,0,31,2020-10-15,3,8,5630,0,167,1,2,2023-06-01 03:43:43,2023-06-01 09:24:43,1.0,2020,10,15
646,27,0,16,2020-07-29,4,15,700,0,1202,3,3,2023-06-01 07:16:45,2023-06-01 05:59:45,1.0,2020,7,29
3864,32,2,20,2021-02-15,1,8,2399,1,0,1,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,2,15
7259,44,1,25,2020-09-27,4,5,4757,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,9,27
6101,66,1,39,2020-12-22,3,15,61,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,12,22
8026,64,1,21,2020-11-20,3,15,7240,0,1403,3,0,2023-06-01 16:21:49,2023-06-01 10:31:49,3.0,2020,11,20
2849,54,1,28,2021-10-10,3,8,5076,0,1440,1,3,2023-06-01 01:54:49,2023-06-01 20:59:49,3.0,2021,10,10
6550,37,1,19,2021-08-16,1,4,1896,0,712,2,0,2023-06-01 00:39:50,2023-06-01 10:25:50,4.0,2021,8,16
5389,68,0,27,2021-10-14,4,8,7022,2,0,2,0,2023-06-01 07:25:51,2023-06-01 17:14:42,3.0,2021,10,14
7920,50,0,31,2021-11-19,1,15,5512,2,0,0,0,2023-06-01 11:14:53,2023-06-01 17:14:42,3.0,2021,11,19
4899,69,1,5,2021-12-22,4,15,4572,2,0,3,3,2023-06-01 10:33:53,2023-06-01 17:14:42,3.0,2021,12,22
5990,47,2,15,2020-07-28,3,10,2689,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,7,28
4630,27,1,5,2020-07-31,4,12,6799,0,632,3,2,2023-06-01 11:56:57,2023-06-01 04:45:57,5.0,2020,7,31
311,40,2,3,2021-09-05,2,2,4138,0,1972,3,0,2023-06-01 19:50:58,2023-06-01 00:38:58,3.0,2021,9,5
2716,40,1,37,2020-11-16,1,13,4865,0,676,3,0,2023-06-01 00:18:00,2023-06-01 11:55:00,1.0,2020,11,16
103,41,2,23,2021-11-21,2,1,1690,2,0,0,3,2023-06-01 01:32:02,2023-06-01 17:14:42,3.0,2021,11,21
2330,64,0,40,2020-12-12,0,9,3587,0,769,1,1,2023-05-31 23:37:04,2023-06-01 12:41:04,4.0,2020,12,12
7320,57,0,0,2020-04-24,0,6,1213,2,0,1,2,2023-06-01 07:07:05,2023-06-01 17:14:42,3.0,2020,4,24
3111,61,1,27,2021-08-02,4,11,271,1,0,3,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,8,2
5860,56,1,3,2021-11-11,4,1,7756,2,0,3,2,2023-05-31 22:38:07,2023-06-01 17:14:42,3.0,2021,11,11
2533,49,0,16,2021-08-08,0,11,6892,0,820,1,1,2023-06-01 05:06:08,2023-06-01 10:17:08,5.0,2021,8,8
5998,54,1,25,2021-06-27,1,10,6519,2,0,2,2,2023-06-01 21:04:10,2023-06-01 17:14:42,3.0,2021,6,27
3298,51,2,0,2021-02-06,4,11,4761,2,0,0,0,2023-05-31 23:00:12,2023-06-01 17:14:42,3.0,2021,2,6
7875,46,0,8,2020-02-13,3,14,6328,0,114,1,0,2023-06-01 11:57:12,2023-05-31 22:51:12,1.0,2020,2,13
2432,27,1,18,2021-05-15,1,13,6518,2,0,3,0,2023-05-31 23:49:14,2023-06-01 17:14:42,3.0,2021,5,15
989,37,2,41,2020-09-26,3,4,7222,1,0,3,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,9,26
2150,34,0,11,2021-02-16,0,5,5669,0,749,2,0,2023-06-01 04:35:16,2023-06-01 03:17:16,4.0,2021,2,16
2276,36,2,12,2020-11-09,1,9,7392,0,828,0,3,2023-06-01 21:31:17,2023-06-01 02:24:17,3.0,2020,11,9
1921,31,0,40,2021-04-16,0,13,5061,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,4,16
1421,37,2,34,2021-01-06,2,5,3996,0,2181,0,0,2023-06-01 14:43:20,2023-06-01 02:30:20,1.0,2021,1,6
887,18,2,41,2020-06-30,1,0,4559,1,0,0,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,6,30
5493,63,0,12,2020-12-29,0,4,2410,0,1071,2,1,2023-06-01 19:16:24,2023-06-01 15:21:24,5.0,2020,12,29
7648,55,2,18,2021-01-07,0,3,5118,2,0,3,3,2023-06-01 16:57:26,2023-06-01 17:14:42,3.0,2021,1,7
2884,40,2,21,2020-11-03,4,15,3027,2,0,0,0,2023-06-01 11:27:28,2023-06-01 17:14:42,3.0,2020,11,3
1772,50,2,25,2021-03-22,4,12,4531,2,0,0,2,2023-06-01 07:27:28,2023-06-01 17:14:42,3.0,2021,3,22
2586,29,2,3,2021-07-22,1,2,121,2,0,3,1,2023-06-01 11:37:29,2023-06-01 17:14:42,3.0,2021,7,22
4186,24,1,33,2021-10-04,3,15,1284,0,721,2,3,2023-06-01 05:40:30,2023-06-01 20:35:30,1.0,2021,10,4
1975,57,2,5,2021-08-11,4,7,5746,2,0,0,2,2023-06-01 00:24:32,2023-06-01 17:14:42,3.0,2021,8,11
3999,67,2,26,2021-08-02,4,6,413,1,0,3,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,8,2
1493,67,0,9,2021-01-22,2,10,6734,1,0,1,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,1,22
4168,46,1,38,2020-01-18,4,12,3854,0,1943,0,2,2023-06-01 18:03:35,2023-06-01 06:23:35,2.0,2020,1,18
7623,55,2,32,2020-09-10,4,4,197,2,0,1,3,2023-06-01 19:21:36,2023-06-01 17:14:42,3.0,2020,9,10
1200,42,2,29,2021-08-01,0,13,2472,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,8,1
2871,40,1,39,2020-01-30,2,12,2048,0,745,3,1,2023-05-31 23:17:40,2023-06-01 03:09:40,5.0,2020,1,30
3177,57,2,39,2020-10-15,3,15,6827,2,0,1,2,2023-06-01 07:15:41,2023-06-01 17:14:42,3.0,2020,10,15
7487,62,1,41,2021-11-14,2,5,528,2,0,2,1,2023-06-01 00:14:43,2023-06-01 17:14:42,3.0,2021,11,14
5804,44,1,6,2021-05-27,4,10,1463,2,0,2,1,2023-06-01 15:57:45,2023-06-01 17:14:42,3.0,2021,5,27
5041,32,0,33,2021-05-24,3,7,4780,1,0,2,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,5,24
1682,65,2,27,2021-12-06,2,0,4057,1,0,0,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,12,6
1733,60,1,5,2021-10-02,2,1,7273,0,2068,1,0,2023-06-01 00:08:49,2023-06-01 18:39:49,5.0,2021,10,2
7601,18,0,34,2020-10-25,1,1,268,1,0,1,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,10,25
1808,22,2,40,2020-01-18,2,4,7148,2,0,1,1,2023-06-01 01:55:51,2023-06-01 17:14:42,3.0,2020,1,18
6814,38,1,35,2020-09-09,0,14,4101,0,917,1,0,2023-06-01 07:05:53,2023-06-01 14:45:53,5.0,2020,9,9
4725,23,2,36,2020-05-15,4,6,2679,2,0,2,0,2023-06-01 15:32:53,2023-06-01 17:14:42,3.0,2020,5,15
5763,39,0,11,2020-05-31,1,4,4538,2,0,1,1,2023-06-01 21:36:55,2023-06-01 17:14:42,3.0,2020,5,31
278,18,2,41,2021-08-01,0,15,1359,2,0,0,2,2023-06-01 21:00:57,2023-06-01 17:14:42,3.0,2021,8,1
3154,40,0,4,2021-01-26,3,1,6481,0,1330,0,1,2023-06-01 03:07:58,2023-06-01 15:23:58,3.0,2021,1,26
3275,49,1,11,2020-02-24,3,1,3291,1,0,1,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,2,24
4660,58,1,12,2021-06-27,3,12,116,1,0,1,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,6,27
4515,56,2,11,2021-07-17,2,1,4347,2,0,0,0,2023-06-01 02:08:01,2023-06-01 17:14:42,3.0,2021,7,17
1600,42,0,30,2021-05-20,1,7,4554,0,2354,2,1,2023-06-01 11:38:01,2023-06-01 20:46:01,2.0,2021,5,20
1953,50,2,21,2021-06-09,4,0,4552,2,0,1,1,2023-06-01 15:49:01,2023-06-01 17:14:42,3.0,2021,6,9
5323,33,1,11,2020-01-08,4,13,3675,0,799,0,0,2023-06-01 02:55:03,2023-06-01 08:15:03,4.0,2020,1,8
4197,59,0,7,2020-03-10,2,0,7738,1,0,1,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,3,10
949,60,0,1,2021-07-28,1,10,6489,0,1165,1,1,2023-06-01 03:14:05,2023-06-01 12:43:05,2.0,2021,7,28
4821,68,1,31,2021-11-29,3,5,2598,1,0,1,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,11,29
1208,68,0,35,2020-03-24,2,5,2303,1,0,3,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,3,24
1155,27,2,25,2021-11-12,1,9,4530,0,2279,1,1,2023-06-01 03:24:09,2023-05-31 22:24:09,1.0,2021,11,12
1853,28,0,37,2020-09-20,1,1,7548,0,1261,1,1,2023-06-01 10:27:10,2023-06-01 06:04:10,1.0,2020,9,20
8056,29,1,41,2021-01-16,4,4,1404,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,1,16
2015,20,0,41,2021-11-27,1,15,2342,0,369,1,1,2023-06-01 19:02:13,2023-06-01 18:17:13,5.0,2021,11,27
4793,18,1,17,2020-02-16,0,13,7327,0,957,3,2,2023-06-01 00:40:14,2023-06-01 04:42:14,5.0,2020,2,16
248,39,0,19,2020-08-17,3,3,3984,1,0,1,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,8,17
3959,41,0,12,2021-07-31,0,15,2401,0,34,2,2,2023-06-01 04:22:17,2023-06-01 14:49:17,2.0,2021,7,31
8217,56,1,2,2021-03-11,0,14,4662,2,0,3,0,2023-06-01 18:02:19,2023-06-01 17:14:42,3.0,2021,3,11
4143,37,2,7,2021-03-03,2,10,972,1,0,0,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,3,3
1866,29,2,10,2020-10-03,3,7,6970,1,0,2,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,10,3
7012,36,2,35,2021-12-27,2,1,932,2,0,2,1,2023-06-01 13:08:24,2023-06-01 17:14:42,3.0,2021,12,27
2544,63,1,11,2021-03-23,4,13,3967,2,0,1,2,2023-06-01 02:14:26,2023-06-01 17:14:42,3.0,2021,3,23
1572,45,1,32,2020-06-27,3,5,2101,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,6,27
7762,68,0,23,2020-06-22,0,2,3470,1,0,2,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,6,22
22,57,1,40,2020-09-28,3,2,1071,2,0,2,1,2023-06-01 03:09:31,2023-06-01 17:14:42,3.0,2020,9,28
3294,49,1,0,2021-04-15,1,6,1215,0,2466,3,1,2023-05-31 22:12:33,2023-06-01 00:29:33,3.0,2021,4,15
328,55,2,1,2021-05-05,1,2,5550,2,0,2,1,2023-06-01 07:38:35,2023-06-01 17:14:42,3.0,2021,5,5
3296,43,1,4,2020-02-13,0,12,2343,0,1155,3,1,2023-06-01 21:31:36,2023-06-01 15:03:36,2.0,2020,2,13
6977,49,1,21,2021-11-24,2,1,4463,2,0,0,3,2023-06-01 20:57:38,2023-06-01 17:14:42,3.0,2021,11,24
7119,65,0,33,2021-05-01,1,3,7984,1,0,3,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,5,1
5472,50,1,30,2021-06-17,3,14,4798,0,93,0,2,2023-06-01 17:14:41,2023-05-31 22:53:41,5.0,2021,6,17
7396,66,1,33,2020-05-01,1,13,5228,0,1797,0,1,2023-06-01 07:40:42,2023-06-01 01:07:42,2.0,2020,5,1
5326,35,0,35,2021-10-30,2,15,6639,2,0,2,0,2023-06-01 02:05:43,2023-06-01 17:14:42,3.0,2021,10,30
97,46,2,7,2020-10-01,1,15,2467,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,10,1
3881,21,2,1,2021-12-20,4,8,1282,0,2313,2,0,2023-06-01 09:56:46,2023-06-01 09:08:46,4.0,2021,12,20
335,58,1,0,2021-02-12,2,11,1719,0,1011,0,0,2023-05-31 23:52:47,2023-06-01 06:58:47,2.0,2021,2,12
670,31,2,20,2021-03-12,1,1,5756,2,0,2,2,2023-06-01 19:46:49,2023-06-01 17:14:42,3.0,2021,3,12
3208,47,1,22,2021-05-09,1,13,7948,0,1282,0,1,2023-06-01 09:35:50,2023-06-01 05:30:50,1.0,2021,5,9
7440,31,2,38,2020-04-13,4,15,2782,0,2596,1,0,2023-06-01 21:18:52,2023-06-01 05:10:52,2.0,2020,4,13
6899,38,0,34,2021-04-26,0,11,577,2,0,1,0,2023-06-01 14:31:54,2023-06-01 17:14:42,3.0,2021,4,26
1487,38,0,8,2021-05-05,1,0,2341,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,5,5
5067,25,0,9,2021-04-02,3,3,5522,1,0,2,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,4,2
4704,46,1,32,2020-10-12,1,14,1903,2,0,3,1,2023-06-01 15:24:59,2023-06-01 17:14:42,3.0,2020,10,12
3267,39,1,23,2021-07-11,1,1,2156,1,0,2,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,7,11
5967,22,0,3,2020-10-06,0,11,4147,0,1636,2,3,2023-06-01 13:45:03,2023-05-31 23:28:03,3.0,2020,10,6
6050,40,2,22,2021-10-24,3,7,2722,0,802,1,0,2023-06-01 08:45:05,2023-06-01 13:55:05,1.0,2021,10,24
7305,64,0,32,2021-03-18,4,10,4205,0,992,0,1,2023-06-01 16:34:07,2023-06-01 20:02:07,3.0,2021,3,18
579,29,0,18,2020-10-14,3,12,3196,0,87,0,1,2023-06-01 15:33:09,2023-06-01 06:51:09,4.0,2020,10,14
2454,45,2,40,2021-12-24,3,5,2624,2,0,3,2,2023-06-01 12:33:10,2023-06-01 17:14:42,3.0,2021,12,24
926,46,2,16,2021-10-19,2,0,4910,2,0,2,3,2023-06-01 15:58:11,2023-06-01 17:14:42,3.0,2021,10,19
5366,58,1,15,2020-03-12,4,2,3712,2,0,3,3,2023-06-01 02:50:13,2023-06-01 17:14:42,3.0,2020,3,12
1964,55,0,34,2021-06-09,4,12,1251,1,0,3,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,6,9
4923,52,1,19,2020-01-29,1,4,3051,1,0,2,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,1,29
6439,20,1,4,2020-12-11,2,4,4025,1,0,2,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,12,11
6777,69,1,30,2020-01-29,4,14,765,1,0,3,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,1,29
7931,35,1,11,2021-11-30,2,6,5408,2,0,2,3,2023-06-01 02:19:21,2023-06-01 17:14:42,3.0,2021,11,30
6363,55,2,39,2021-02-03,0,2,7941,2,0,1,1,2023-06-01 19:33:22,2023-06-01 17:14:42,3.0,2021,2,3
5081,19,0,23,2020-07-19,3,0,412,2,0,1,1,2023-06-01 10:20:23,2023-06-01 17:14:42,3.0,2020,7,19
2147,29,0,19,2020-01-06,3,13,2212,0,1084,1,2,2023-06-01 03:19:25,2023-06-01 15:58:25,3.0,2020,1,6
348,30,1,7,2021-10-23,3,9,4086,0,1913,0,2,2023-06-01 21:38:27,2023-06-01 10:37:27,1.0,2021,10,23
3110,34,1,25,2020-11-11,1,12,291,0,292,3,2,2023-06-01 19:15:27,2023-06-01 09:02:27,3.0,2020,11,11
527,24,1,19,2021-05-21,0,13,1752,0,1942,2,3,2023-06-01 19:39:29,2023-06-01 21:26:29,5.0,2021,5,21
5020,33,1,6,2020-07-25,2,8,6806,2,0,2,1,2023-06-01 07:21:30,2023-06-01 17:14:42,3.0,2020,7,25
6465,32,0,40,2020-04-03,3,1,4196,0,2239,3,1,2023-06-01 04:35:32,2023-06-01 07:29:32,3.0,2020,4,3
2075,41,1,14,2020-01-31,4,4,6712,0,610,3,0,2023-06-01 12:41:33,2023-06-01 06:19:33,3.0,2020,1,31
1592,51,2,23,2021-09-03,0,4,7036,1,0,1,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,9,3
7386,30,1,39,2020-08-04,2,8,3274,0,2759,3,2,2023-06-01 14:14:36,2023-06-01 11:08:36,1.0,2020,8,4
761,44,0,25,2021-12-24,0,13,3036,0,233,2,3,2023-06-01 15:42:38,2023-06-01 18:36:38,4.0,2021,12,24
1353,33,0,38,2020-12-11,3,14,1668,1,0,2,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,12,11
5817,36,2,28,2020-01-27,1,11,2132,2,0,3,3,2023-06-01 10:53:42,2023-06-01 17:14:42,3.0,2020,1,27
2345,50,2,23,2021-10-01,3,12,1320,2,0,3,1,2023-05-31 23:10:43,2023-06-01 17:14:42,3.0,2021,10,1
410,37,1,21,2021-10-05,4,3,7477,2,0,0,0,2023-06-01 19:22:43,2023-06-01 17:14:42,3.0,2021,10,5
6621,42,2,33,2021-10-18,4,4,3397,0,878,3,1,2023-06-01 13:14:45,2023-06-01 07:23:45,4.0,2021,10,18
8219,49,0,37,2021-11-16,4,14,3942,2,0,3,1,2023-06-01 02:45:47,2023-06-01 17:14:42,3.0,2021,11,16
4849,27,2,11,2020-09-21,1,12,1891,2,0,1,2,2023-06-01 11:03:49,2023-06-01 17:14:42,3.0,2020,9,21
5068,25,2,0,2020-04-19,0,10,3760,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,4,19
5617,58,0,18,2021-06-03,0,3,7243,2,0,0,2,2023-06-01 18:36:52,2023-06-01 17:14:42,3.0,2021,6,3
3649,60,2,24,2021-11-17,3,11,222,2,0,3,1,2023-06-01 03:33:53,2023-06-01 17:14:42,3.0,2021,11,17
1992,34,2,2,2020-11-26,1,0,1787,2,0,0,3,2023-06-01 20:47:54,2023-06-01 17:14:42,3.0,2020,11,26
5133,33,0,36,2021-04-18,2,4,5263,0,2608,1,0,2023-06-01 01:29:56,2023-06-01 06:34:56,4.0,2021,4,18
6091,32,0,18,2020-03-16,0,8,389,0,1201,3,2,2023-05-31 23:38:57,2023-06-01 03:51:57,4.0,2020,3,16
8305,29,0,34,2021-10-17,3,13,3997,2,0,1,0,2023-06-01 13:47:59,2023-06-01 17:14:42,3.0,2021,10,17
3228,50,2,37,2021-03-19,4,15,7833,1,0,2,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,3,19
4297,33,0,41,2021-04-23,2,14,6041,2,0,3,2,2023-06-01 07:30:00,2023-06-01 17:14:42,3.0,2021,4,23
6896,46,1,23,2021-01-19,1,8,2330,2,0,2,2,2023-06-01 17:14:02,2023-06-01 17:14:42,3.0,2021,1,19
1344,37,2,34,2021-01-10,3,11,8047,0,4,1,2,2023-06-01 15:58:03,2023-06-01 07:32:03,1.0,2021,1,10
1388,46,2,21,2020-04-25,4,5,5271,1,0,0,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,4,25
6888,70,2,41,2021-02-09,3,13,2930,2,0,0,2,2023-06-01 03:09:06,2023-06-01 17:14:42,3.0,2021,2,9
5887,57,0,12,2020-10-14,2,4,7681,2,0,2,1,2023-05-31 23:17:07,2023-06-01 17:14:42,3.0,2020,10,14
5100,58,2,16,2021-10-28,2,0,3444,0,1885,3,2,2023-06-01 21:31:09,2023-05-31 22:49:09,1.0,2021,10,28
168,18,1,16,2021-09-03,1,14,7011,2,0,0,0,2023-06-01 05:08:10,2023-06-01 17:14:42,3.0,2021,9,3
6095,57,1,36,2021-06-15,0,9,3798,0,2168,3,3,2023-06-01 04:08:11,2023-06-01 11:49:11,2.0,2021,6,15
6024,29,2,28,2020-06-11,3,11,7101,1,0,1,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,6,11
6956,66,0,19,2021-08-08,3,5,5950,2,0,2,3,2023-06-01 18:04:14,2023-06-01 17:14:42,3.0,2021,8,8
7681,30,1,24,2021-01-28,3,4,6966,0,562,1,0,2023-06-01 02:54:15,2023-05-31 22:36:15,3.0,2021,1,28
1360,60,0,1,2021-07-23,1,13,960,0,1606,0,0,2023-06-01 01:07:17,2023-06-01 19:24:17,5.0,2021,7,23
2813,66,2,9,2020-09-19,2,15,1182,0,1043,3,0,2023-06-01 12:39:19,2023-06-01 20:34:19,5.0,2020,9,19
2959,51,2,4,2021-01-13,2,2,1017,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,1,13
1375,55,2,14,2021-12-16,3,4,3505,1,0,3,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,12,16
